id,titre,metier,entreprise,salaire_proposer,salaire_min,salaire_max,salaire_avg,description,experience,competences,ville,departement,region
201STWH,Ingénieur.e d'étude : traitement de données/simulation numérique (H/F),data engineer,INRAE CLERMONT-ARA ST-GENES-CHAMPANELLE,Mensuel de 2244.79 Euros sur 12.0 mois,26937.48,26937.48,26937.48,Vous exercerez votre activité au sein de l'Unité de Recherche Technologie et Systèmes d'information pour les agrosystèmes (TSCF)  sur le site de recherche et d'expérimentation AgroTechnoPôle de Montoldre dans le département de l'Allier (03). Cette Unité implantée sur 2 sites rassemble plus de 60 agents  son second site étant le Pôle scientifique et universitaire des Cézeaux à Aubière (63). Elle mobilise les sciences pour l'ingénieur et les sciences et technologies de l'information et de la communication pour conduire des recherches sur les méthodes et outils pour une ingénierie des systèmes agro-environnementaux qui s'inscrivent dans le cadre de la transition agroécologique. Elle conduit également des activités de recherche  d'expertise et d'essai dans le domaine de la sécurité et des performances des agroéquipements pour contribuer à l'amélioration de la sécurité en agriculture  à la réduction des pollutions d'origine agricole  à la gestion de l'environnement et à apporter des réponses concrètes aux besoins d'une agriculture productive écologiquement responsable. Votre mission consistera à contribuer au projet PerfSemXYZ visant au développement de solutions de localisation des positions en X  Y et Z dans le sol de graines semées par des semoirs agricoles. Plusieurs solutions de détection envisagées nécessitent du traitement de données ou d'images  puis des développements de simulateurs informatisés auxquels vous participerez. Vous serez plus particulièrement en charge de : - effectuer le traitement d'images issues d'une caméra mobile  en vue d'établir une cartographie des positions de graines à la surface d'un sol expérimental   - traiter les données diverses et application d'algorithmes de mathématiques appliquées  statistiques  en particulier d'optimisation numérique   - développer des modèles physiques simples pour la description des phénomènes mis en jeu   - développer  le cas échéant  des simulateurs recourant à la DEM (Discrete Element Modeling) ou à la CFD (Computational Fluid Dynamic) pour la compréhension des phénomènes. En poste principalement sur le site INRAE de Montoldre (03)  vous serez amené à de possibles déplacements occasionnels pour des réunions du projet sur d'autres sites de partenaires du projet.,Junior (0-2 ans),"python, sql, spark, etl, big data, cloud",03 - Montoldre,3,Auvergne-Rhône-Alpes
201CSRN,Data Engineer (H/F),data engineer,SOCIETE POUR L'INFORMATIQUE INDUSTRIELLE,Mensuel de 37000.0 Euros à 40000.0 Euros sur 12.0 mois,37000,40000,38500,Dans le cadre du développement de notre agence  nous recherchons un Data Engineer (H/F). Intégré(e) au sein des équipes clients  tes futures missions sont : Résolution d'incidents (niveau 2 ou 3) et mise en œuvre d'actions préventives   Concevoir et mettre en place un environnement de tests pour une application Matlab   Conseil  assistance et expertise auprès des utilisateurs   Maintien en condition opérationnelle des outils ou systèmes (RUN)   Participation à l'évolution des cibles et trajectoires du SI (BUILD). Tes atouts pour le poste sont la maîtrise des technologies Big Data et notamment l'écosystème Hadoop ((Kafka  Solr  Hbase  Hive  Spark)  Cloudera (Sentry  Kudu  Impala). De formation BAC+5  tu justifies d'une première expérience significative dans le domaine de la Data et tu possèdes également de bonnes connaissances dans le développement informatique et la data analyse. Compétences techniques requises : Système et OS : Linux/Unix (RedHat  CentOS)   ETL : Talend  Talend Big Data Edition  TeraData   Cloud (DataBricks  DeltaLake)  Azure  Amazon  PAAS (Open-Shift  Kubernetes)  Confluent. Doté(e) d'un bon relationnel et appréciant le travail en équipe  tu aimes transmettre ton savoir sur ton domaine d'expertise. Le Groupe SII est au cœur de l'innovation au service de grands comptes dans des secteurs d'ingénierie variés. En 2025  nous avons été labellisés Great Place To Work pour la 8e année label pour les entreprises de « + de 2500 salariés » où il fait bon vivre. Nous sommes très fiers d'obtenir cette reconnaissance de nos salariés ! Ce succès est le reflet de notre culture basée sur notre volonté de proposer à tous nos salariés un cadre de travail épanouissant pour le développement de leurs compétences et carrières. Rejoindre SII  c'est s'engager dans une aventure collective : Let's Tech Together ! Cette promesse représente notre ambition commune : construire un futur technologique ensemble  dans un cadre où l'expérimentation et l'autonomie sont encouragées  où les innovations sont au cœur de nos actions  et où chaque collaborateur trouve épanouissement professionnel et responsabilisation au sein d'un collectif enthousiaste et inclusif. En tant que société à fortes valeurs humaines  nous sommes signataires de la Charte de la Diversité  de la Charte d'engagement LGBT+ avec l'Association l'autre Cercle et sommes une entreprise Handi-accueillante. Let's Tech Together incarne ce que nous sommes et ce que nous aspirons à être : une entreprise dynamique  innovante et humaine. Alors si ces valeurs vous parlent  rejoignez-nous !,Junior (0-2 ans),"azure, centos, databricks, etl, hadoop, hive, kafka, kubernetes, linux, redhat, spark, talend, unix",06 - VALBONNE,6,Provence-Alpes-Côte d'Azur
6683253,Chargé de mission et projets (H/F),consultant business intelligence,,Annuel de 40000.0 Euros à 50000.0 Euros,40000,50000,45000,Offre d&apos emploi : CDI Client final Chef de projet Infrastructure (F/H) - Sophia Antipolis - 45/50K - Télétravail 2X/semaine Vous êtes chef de projet infrastructure confirmé à la recherche d&apos une nouvelle opportunité ? Notre client  une institution publique reconnue dans son domaine  recrute dans le cadre d&apos un remplacement. Vos missions principales :&nbsp  - Pilotage de projets d’infrastructure. - Faire évoluer le système d’information conformément aux besoins. -&nbsp Participer à l&apos élaboration des architectures techniques et fonctionnelles. -&nbsp Veiller au respect des normes qualité et des procédures associées. &nbsp,Junior (0-2 ans),"java,python, git",06 - Valbonne,6,Provence-Alpes-Côte d'Azur
5873455,Data Engineer - ETL SAP BO / Logistique (H/F),data engineer,Externatic,Annuel de 45000.0 Euros à 55000.0 Euros,45000,55000,50000,L'entreprise accompagnée et les missions: Vous êtes passionné(e) par la data  l'ingénierie des flux et les environnements décisionnels complexes ? Vous souhaitez rejoindre un acteur majeur de la logistique et de l'approvisionnement en pleine transformation digitale ? Dans le cadre d'une création de poste  nous recherchons un Data Engineer  avec une expertise solide sur l'ETL et les problématiques WMS/Logistique  pour prendre en charge la conception et l'automatisation des flux de données alimentant la nouvelle plateforme décisionnelle (SAP BO). Vous jouerez un rôle central dans la fiabilisation et la valorisation de données critiques à très forte volumétrie issues du système d'information de l'entrepôt. Vos Missions et Responsabilités Clés Intégré(e) à l'équipe informatique et en collaboration étroite avec les équipes métiers Supply Chain ainsi que la Direction  vos missions se concentreront principalement sur la mise en place et la maintenance de l'architecture ETL (Extract  Transform  Load) autour de SAP BO : - Ingénierie des Flux de Données (ETL) :- Concevoir  développer et automatiser les processus d'extraction de données massives issues des systèmes de production logistique (fichiers CSV du SI d'entrepôt  etc.). - Assurer la transformation  le nettoyage et la fiabilisation de ces données pour garantir leur qualité et leur conformité avant injection. - Configurer et optimiser le chargement (Load) des données dans la base centrale (Data Warehouse) via l'outil SAP BO (avec une attention particulière aux traitements par batch pour gérer la volumétrie). - Conception Décisionnelle :- Assurer le lien et l'intégration des données entre les systèmes transactionnels (WMS) et les outils d'analyse (SAP BO). - Participer à la création et à la maintenance des Univers SAP BusinessObjects (via Designer ou Information Design Tool) pour structurer les données. - Définir et automatiser des indicateurs de performance (KPI) clés liés aux processus logistiques (réceptions  préparations  expéditions  stocks  productivité entrepôt). - Support et Optimisation :- Réaliser la veille technologique sur les environnements BI/SAP et proposer des améliorations continues de l'architecture et des processus ETL. - Assurer la maintenance des solutions déployées et gérer le support technique de niveau 3 en cas de dysfonctionnement des flux. CaractéristiqueDétailLocalisationCastelnaudary (11) - 50 min de ToulouseType de ContratCDIExpérienceConfirmé (5 ans minimum)Rémunération45K€ à 55K€ brut annuel (selon expérience) Profil: - Formation : Diplôme de niveau Bac +3 à Bac +5 en Informatique  Data Science  BI  ou Logistique. - Expérience : Vous justifiez d'une expérience réussie d'au moins 5 ans sur un poste similaire de Développeur BI  Data Engineer ou Consultant ETL  idéalement dans un contexte logistique. - Compétences Techniques Impératives :- Maîtrise de l'ETL et de la conception de Data Warehouse. - Excellente connaissance des environnements SAP BusinessObjects (BO Designer / IDT) pour la création d'univers. - Forte appétence pour les modules et les processus logistiques (WMS) et une bonne compréhension des systèmes transactionnels (SAP  WMS). - Compétences en requêtage SQL et connaissance des environnements Cloud (GCP/BigQuery) serait un plus pour l'évolution. - Savoir-Être :- Rigueur absolue et souci permanent de la qualité et de la fiabilité des données. - Autonomie  force de proposition et esprit d'initiative. - Excellent relationnel et sens de l'écoute pour collaborer efficacement avec les équipes métiers (logistique  entrepôt) et comprendre leurs besoins. Avantages: AvantagesCDI au sein d’un groupe solide - +/-50K€ + prime annuel fixe + bonus cadre +intéressement avec PEE - Statut cadre forfait jour10 RTT - Crèche d'entreprise et aide au logement/déménagement Locaux basés à Castelnaudary - 50 min de Toulouse Être à l'origine d'un projet en pleine construction Environnement à la pointe de la technologie - Culture PME avec un large pouvoir de décision et de considération Process de recrutementEntretien de carrière avec Externatic Entretien technique avec l'équipe IT et Supply Chain Entretien RH et validation finale par la direction. Externatic vous accompagne tout au long du process pour une expérience fluide et transparente.,Intermédiaire (2-5 ans),"etl, gcp, sap, sql",11 - Castelnaudary,11,Occitanie
201MFRL,Data analyst,data analyst,DOGG LABEL,Mensuel de 2600.0 Euros sur 12.0 mois,31200,31200,31200,Gérer et structurer la base de données clients - Administrer notre plateforme CRM / CDP - Mettre en place des segmentations performantes au service du marketing relationnel - Construire et suivre les KPI CRM et proposer des optimisations - Réaliser des études et rapports ad hoc  Business & CRM (comportement client  cohorte  churn  valeur client.) - Créer des tableaux de bord et rapports (Excel  Google Sheets  BI / Dataviz) - Analyser les performances digitales via les outils de Web Analytics - Être force de proposition pour toutes les analyses permettant d'optimiser la performance e-commerce et la gestion client.,Junior (0-2 ans),"sql, excel, power bi, tableau, python, analyse de données",13 - MARSEILLE 10,13,Provence-Alpes-Côte d'Azur
201JDFR,Data engineer (H/F),data engineer,PROXIAD,Annuel de 35000.0 Euros à 38500.0 Euros sur 12.0 mois,35000,38500,36750,Data Engineer expérimenté - Python / GCP / Spark Dans le cadre de ses activités Data  notre client bancaire conçoit et industrialise des cas d'usage en Data Science  notamment autour de l'Intelligence Artificielle et de l'IA Générative  à destination de ses différentes entités internes. Pour renforcer les équipes  nous recherchons un Data Engineer expérimenté  capable de prendre en charge des composants techniques mutualisés et d'intervenir sur des environnements de production exigeants. Missions : Prendre en charge les demandes d'évolution de la librairie interne Packta  en coordination avec le Scrum Master. Réaliser les développements en Python  avec une attention particulière portée à la qualité  la maintenabilité et la performance du code. Contribuer à l'industrialisation des cas d'usage Data Science. Participer aux rituels agiles de l'équipe (daily  sprint planning  etc.). Collaborer avec les autres profils Data (scientists  ops  etc.) pour garantir la cohérence technique des solutions. Environnement technique : Python (programmation orientée objet) GCP (Google Cloud Platform) Apache Spark Le profil recherché Expérience significative en tant que Data Engineer  dans un environnement Big Data ou orienté IA. Solide maîtrise du développement Python et des bonnes pratiques orientées objet. Bon niveau sur les environnements cloud  en particulier GCP. Autonomie  rigueur  esprit d'équipe et appétence pour les environnements agiles. Contrat : CDI - Proxiad / Client bancaire majeur Rémunération : 38 000 € brut/an (évolutif selon profil et performance) 2 jours sur site et 3 jours en TT,Junior (0-2 ans),"gcp, google cloud, python, scrum, spark",13 - AIX EN PROVENCE,13,Provence-Alpes-Côte d'Azur
201WHKH,Développeur IT - Talend (H/F),data engineer,H CONSULTING,Annuel de 36000.0 Euros sur 12.0 mois,36000,36000,36000,H Consulting recherche un Développeur IT - Talend H/F en CDI. Le développeur rejoindra l'équipe de développement TALEND. Le profil devra garantir un haut niveau de qualité lors des livraisons  tant pour les analyses que pour les développements. Il devra s'assurer du bon suivi des règles de programmation et de tests par les développeurs  échanger régulièrement avec les métiers et les équipes techniques. Missions principales : - Apprendre l'environnement technique TALEND et maîtriser les principes de développement. - Comprendre les demandes métier et challenger les spécifications reçues. - Développer les flux en suivant les spécifications et les normes de développement. - Traiter les retours des phases de recette. - Réaliser la maintenance corrective sur les flux. - Veiller à la qualité et à la documentation du code produit. - Proposer des améliorations à moyen terme. Profil recherché: - Une bonne maîtrise de l'informatique en général. - Une solide connaissance du langage SQL et des bases de données relationnelles. - Une compréhension des technologies web  notamment l'utilisation d'API. - Un niveau de français courant et un bon niveau d'anglais. - Des connaissances en JAVA seraient un plus. Si vous faites preuve de rigueur  d'organisation  d'autonomie et avez un fort sens du service  rejoignez nos équipes ! Nos opportunités sont ouvertes à tous et toutes.,Junior (0-2 ans),"java, sql, talend",13 - Marseille 8e Arrondissement,13,Provence-Alpes-Côte d'Azur
201NRMG,Ingénieur Développeur PL/SQL (H/F),data engineer,GROUPAGORA,Mensuel de 38000.0 Euros à 42000.0 Euros sur 12.0 mois,38000,42000,40000,Nous sommes à la recherche d'un Développeur PL/SQL pour compléter les équipes de notre entreprise partenaire  entreprise majeure dans le commerce et la distribution à grande échelle. Vous rejoindrez une équipe dédiée aux besoins de la chaîne d'approvisionnement  des points de vente et du siège. En étroite collaboration avec l'équipe SI  votre mission principale sera d'assurer la fluidité des flux transactionnels quotidiens et de participer aux projets d'évolution du système. Profil ouvert aux développeurs venant d'autres environnements (Java  Python  .NET) avec intérêt pour Oracle/PL-SQL. LE POSTE : Vos responsabilités incluent : - Assurer le maintien en condition opérationnelle du back-office - Participer aux projets d'évolution du système - Gérer les tickets de support de niveau 2 qui vous sont assignés - Analyser et traiter les demandes dans les délais contractuels  en prenant en compte les impacts directs et indirects - Préparer les bons de livraison pour l'équipe de production en vue du passage en production - Proposer des solutions préventives pour améliorer le système - Suggérer des solutions opérationnelles aux clients pour répondre à leurs besoins et corriger les anomalies détectée - Contribuer à l'optimisation du système et proposer des améliorations L'ENVIRONNEMENT TECHNIQUE : - Oracle - HTML5 - CSS3 - AJAX- JSON - JavaScript - XML/DTD - Utilisation des WebServices HTTP/REST- XML/JSON - SHELL - Environnement de développement : SQL Developer Le profil recherché : Titulaire d'un diplôme de niveau BAC+2 à BAC+5 en informatique de gestion  vous possédez une première expérience réussie dans ce domaine. Autonome  organisé(e) et force de proposition  vous faites preuve d'un esprit pratique. Vos qualités relationnelles et votre capacité d'adaptation sont reconnues  et vous appréciez le travail en mode collaboratif. Une expérience dans les secteurs du commerce ou de la distribution serait un plus.,Intermédiaire (2-5 ans),"java, javascript, oracle, pl/sql, python, shell, sql, vue.js",13 - Aix-en-Provence,13,Provence-Alpes-Côte d'Azur
201NRCD,Ingénieur Développeur PL/SQL (H/F),data engineer,GROUPAGORA,Annuel de 38000.0 Euros à 42000.0 Euros sur 12.0 mois,38000,42000,40000,Nous sommes à la recherche d'un Développeur PL/SQL pour compléter les équipes de notre entreprise partenaire  entreprise majeure dans le commerce et la distribution à grande échelle. Vous rejoindrez une équipe dédiée aux besoins de la chaîne d'approvisionnement  des points de vente et du siège. En étroite collaboration avec l'équipe SI  votre mission principale sera d'assurer la fluidité des flux transactionnels quotidiens et de participer aux projets d'évolution du système. Profil ouvert aux développeurs venant d'autres environnements (Java  Python  .NET) avec intérêt pour Oracle/PL-SQL. LE POSTE : Vos responsabilités incluent : - Assurer le maintien en condition opérationnelle du back-office - Participer aux projets d'évolution du système - Gérer les tickets de support de niveau 2 qui vous sont assignés - Analyser et traiter les demandes dans les délais contractuels  en prenant en compte les impacts directs et indirects - Préparer les bons de livraison pour l'équipe de production en vue du passage en production - Proposer des solutions préventives pour améliorer le système - Suggérer des solutions opérationnelles aux clients pour répondre à leurs besoins et corriger les anomalies détectée - Contribuer à l'optimisation du système et proposer des améliorations L'ENVIRONNEMENT TECHNIQUE : - Oracle - HTML5 - CSS3 - AJAX- JSON - JavaScript - XML/DTD - Utilisation des WebServices HTTP/REST- XML/JSON - SHELL - Environnement de développement : SQL Developer Le profil recherché : Titulaire d'un diplôme de niveau BAC+2 à BAC+5 en informatique de gestion  vous possédez une première expérience réussie dans ce domaine. Autonome  organisé(e) et force de proposition  vous faites preuve d'un esprit pratique. Vos qualités relationnelles et votre capacité d'adaptation sont reconnues  et vous appréciez le travail en mode collaboratif. Une expérience dans les secteurs du commerce ou de la distribution serait un plus.,Intermédiaire (2-5 ans),"java, javascript, oracle, pl/sql, python, shell, sql, vue.js",13 - Arles,13,Provence-Alpes-Côte d'Azur
6968159,Expert Data & BI (H/F),data engineer,FATEC GROUP,Annuel de 58000.0 Euros à 60000.0 Euros,58000,60000,59000,RESPONSABILITÉS : La mission consiste à assurer la continuité et la fiabilité des activités Data & Business Intelligence  en garantissant la qualité  la sécurité et la conformité des données. Elle vise également à piloter les projets d'intégration  de reporting et d'optimisation pour soutenir les décisions stratégiques de l'entreprise. Responsabilités clés • Support opérationnel : Assurer le suivi des projets Data (ETL  entrepôt de données  dashboards) et garantir la disponibilité des services BI. • Coordination : Superviser l'équipe Data en l'absence du manager  gérer les priorités et les escalades. • Qualité et conformité : Maintenir les standards de qualité des données et veiller au respect des règles de sécurité et conformité. • Reporting : Produire et valider les KPI  tableaux de bord et analyses pour les directions métiers. • Amélioration continue : Identifier les optimisations possibles dans les processus Data et BI. • Communication : Servir de point de contact pour les parties prenantes internes et externes. PROFIL RECHERCHÉ : Compétences  expériences et qualités requises • 5 à 7 ans dans le domaine Data & Business Intelligence  incluant la gestion de projets et la mise en place de solutions BI. • Expérience confirmée en modélisation de données  ETL  data governance et reporting. • Connaissance des environnements ERP (ex. Sage X3) et des outils de visualisation (Power BI  Qlik). • Pratique des méthodologies Agile et des processus de qualité et sécurité des données. Études • Bac +5 en Informatique décisionnelle  Data Science  Statistiques  ou Ingénierie SI. • Une spécialisation en Business Intelligence ou Data Management est fortement recommandée. • Certifications appréciées : Microsoft Power BI  Data Governance  ETL Tools. Compétences • Techniques : SQL  Data Modeling  BI Tools (Power BI  Qlik  etc.)  ETL  suite MS BI SQL Server (SSAS SSRS SSIS) très appréciée • Organisationnelles : Gestion de projet  priorisation  coordination d'équipe. • Soft skills : Leadership  communication  capacité à prendre des décisions rapides. • Connaissance métier : Gouvernance des données  sécurité  conformité RGPD. Basés à Marseille  dans le quartier de l'Estaque  nous profitons de locaux modernes et agréables  accessibles en train  vélo ou covoiturage  avec une vue incroyable sur la mer. Nous attachons de l'importance au bien-être de nos salariés  afin de venir travailler avec le sourire et d'assurer à chacun un bel équilibre de vie. Rejoignez-nous pour nous apporter votre énergie et vos talents  nous grandirons ensemble.,Intermédiaire (2-5 ans),"agile, etl, power bi, qlik, rgpd, sql, sql server, ssas, ssis, ssrs, vue.js",13 - Marseille 16e Arrondissement,13,Provence-Alpes-Côte d'Azur
